localizacion,rango,year,poblacion,porcentaje,variacionAnual
Sarrià-Sant Gervasi,de 20-39,2010,38128,26.38,-0.679882258
Sarrià-Sant Gervasi,de 40-59,2010,38661,26.75,0.855659614
Sarrià-Sant Gervasi,de 60-79,2010,27763,19.21,0.043241685
Sarrià-Sant Gervasi,más de 80,2010,10657,7.37,1.621054639
Gràcia,de 0 a 20,2010,17944,14.59,0.436583455
Gràcia,de 20-39,2010,40255,32.73,-0.766651876
Gràcia,de 40-59,2010,32083,26.09,-0.471537149
Gràcia,de 60-79,2010,23641,19.22,-0.084527281
Gràcia,más de 80,2010,9067,7.37,0.132523468
Horta-Guinardó,de 0 a 20,2010,27013,15.82,0.326833798
Horta-Guinardó,de 20-39,2010,49510,28.99,-1.597964781
Horta-Guinardó,de 40-59,2010,45242,26.49,0.341554294
Horta-Guinardó,de 60-79,2010,37572,22,-0.453064144
Horta-Guinardó,más de 80,2010,11458,6.71,3.076646276
Nou Barris,de 0 a 20,2010,27849,16.58,1.081630431
Nou Barris,de 20-39,2010,49550,29.5,-2.782137812
Nou Barris,de 40-59,2010,42728,25.44,1.585792064
Nou Barris,de 60-79,2010,36998,22.03,-0.75909981
Nou Barris,más de 80,2010,10824,6.44,4.88372093
Sant Andreu,de 0 a 20,2010,24556,16.72,1.47107438
Sant Andreu,de 20-39,2010,44324,30.18,-1.720620843
Sant Andreu,de 40-59,2010,40345,27.47,0.570844551
Sant Andreu,de 60-79,2010,28955,19.72,0.727057678
Sant Andreu,más de 80,2010,8664,5.9,3.562036816
Sant Martí,de 0 a 20,2010,38763,16.84,1.240597576
Sant Martí,de 20-39,2010,69685,30.28,-0.42297195
Sant Martí,de 40-59,2010,64058,27.84,0.982107669
Sant Martí,de 60-79,2010,44040,19.14,0.357769524
Sant Martí,más de 80,2010,13587,5.9,3.606832393
Barcelona,de 0 a 20,2010,259470,16.02,0.901804776
Barcelona,de 20-39,2010,499037,30.82,-1.603992334
Barcelona,de 40-59,2010,433703,26.78,0.426061043
Barcelona,de 60-79,2010,318402,19.66,-0.250312499
Barcelona,más de 80,2010,108725,6.71,2.425812529
Ciutat Vella,de 0 a 20,2009,14228,13.24,-0.210408192
Ciutat Vella,de 20-39,2009,45854,42.68,-6.269291306
Ciutat Vella,de 40-59,2009,26193,24.38,-2.323239857
Ciutat Vella,de 60-79,2009,15207,14.16,-2.861705525
Ciutat Vella,más de 80,2009,5944,5.53,-0.701637153
Eixample,de 0 a 20,2009,37967,14.23,-0.440540186
Eixample,de 20-39,2009,83111,31.14,0.927781219
Eixample,de 40-59,2009,72118,27.02,0.216781079
Eixample,de 60-79,2009,52208,19.56,-0.009576159
Eixample,más de 80,2009,21470,8.04,1.230609647
Sants-Montjuïc,de 0 a 20,2009,28113,15.41,0.328325185
Sants-Montjuïc,de 20-39,2009,59190,32.45,0.439497039
Sants-Montjuïc,de 40-59,2009,49788,27.3,0.840540376
Sants-Montjuïc,de 60-79,2009,34430,18.88,-0.327128506
Sants-Montjuïc,más de 80,2009,10874,5.96,2.93449451
Les Corts,de 0 a 20,2009,13062,15.75,-1.067939105
Les Corts,de 20-39,2009,23699,28.57,2.340544976
Les Corts,de 40-59,2009,22496,27.12,-1.583690612
Les Corts,de 60-79,2009,18291,22.05,1.441961067
Les Corts,más de 80,2009,5404,6.51,3.129770992
Sarrià-Sant Gervasi,de 0 a 20,2009,28951,20.12,0.632625395
Sarrià-Sant Gervasi,de 20-39,2009,38389,26.68,0.888281517
Sarrià-Sant Gervasi,de 40-59,2009,38333,26.64,0.645889674
Sarrià-Sant Gervasi,de 60-79,2009,27751,19.28,0.660161776
Sarrià-Sant Gervasi,más de 80,2009,10487,7.29,2.92472274
Gràcia,de 0 a 20,2009,17866,14.48,1.367375887
Gràcia,de 20-39,2009,40566,32.88,2.129909366
Gràcia,de 40-59,2009,32235,26.13,0.693468279
Gràcia,de 60-79,2009,23661,19.18,-0.462748727
Gràcia,más de 80,2009,9055,7.34,1.071548164
Horta-Guinardó,de 0 a 20,2009,26925,15.73,0.703145454
Horta-Guinardó,de 20-39,2009,50314,29.39,-0.180537645
Horta-Guinardó,de 40-59,2009,45088,26.34,0.222281497
Horta-Guinardó,de 60-79,2009,37743,22.05,0.175173183
Horta-Guinardó,más de 80,2009,11116,6.49,4.670433145
Nou Barris,de 0 a 20,2009,27551,16.38,1.634203925
Nou Barris,de 20-39,2009,50968,30.31,-0.47450743
Nou Barris,de 40-59,2009,42061,25.01,0.742497186
Nou Barris,de 60-79,2009,37281,22.17,-0.520333013
Nou Barris,más de 80,2009,10320,6.14,4.379488217
Sant Andreu,de 0 a 20,2009,24200,16.52,1.208648739
Sant Andreu,de 20-39,2009,45100,30.78,0.095434672
Sant Andreu,de 40-59,2009,40116,27.38,0.247394857
Sant Andreu,de 60-79,2009,28746,19.62,1.471989834
Sant Andreu,más de 80,2009,8366,5.71,2.91548776
Sant Martí,de 0 a 20,2009,38288,16.74,1.339262082
Sant Martí,de 20-39,2009,69981,30.6,0.469463347
Sant Martí,de 40-59,2009,63435,27.74,1.227140714
Sant Martí,de 60-79,2009,43883,19.19,0.382011163
Sant Martí,más de 80,2009,13114,5.73,3.988581397
Barcelona,de 0 a 20,2009,257151,15.86,0.626885646
Barcelona,de 20-39,2009,507172,31.28,-0.055571539
Barcelona,de 40-59,2009,431863,26.63,0.309385387
Barcelona,de 60-79,2009,319201,19.69,0.069283341
Barcelona,más de 80,2009,106150,6.55,2.665531849
Ciutat Vella,de 0 a 20,2008,14258,12.77,0.514628128
Ciutat Vella,de 20-39,2008,48921,43.82,0.836854581
Ciutat Vella,de 40-59,2008,26816,24.02,0.842358604
Ciutat Vella,de 60-79,2008,15655,14.02,-3.346298697
Ciutat Vella,más de 80,2008,5986,5.36,-0.713219439
Eixample,de 0 a 20,2008,38135,14.34,0.405465891
Eixample,de 20-39,2008,82347,30.97,2.670656443
Eixample,de 40-59,2008,71962,27.07,1.107145868
Eixample,de 60-79,2008,52213,19.64,-0.421482244
Eixample,más de 80,2008,21209,7.98,2.582829504
